Format Version,1.1,Take Name,Take 2015-02-20 02.11.14 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2015-02-20 02.11.14.443 PM,Total Frames,4115,Rotation Type,Quaternion

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 2,Rigid Body 2,Rigid Body 2,Rigid Body 2,Rigid Body 2,Rigid Body 2,Rigid Body 2,Rigid Body 3,Rigid Body 3,Rigid Body 3,Rigid Body 3,Rigid Body 3,Rigid Body 3,Rigid Body 3,Rigid Body 4,Rigid Body 4,Rigid Body 4,Rigid Body 4,Rigid Body 4,Rigid Body 4,Rigid Body 4,Rigid Body 5,Rigid Body 5,Rigid Body 5,Rigid Body 5,Rigid Body 5,Rigid Body 5,Rigid Body 5,Rigid Body 6,Rigid Body 6,Rigid Body 6,Rigid Body 6,Rigid Body 6,Rigid Body 6,Rigid Body 6,Rigid Body 7,Rigid Body 7,Rigid Body 7,Rigid Body 7,Rigid Body 7,Rigid Body 7,Rigid Body 7,Rigid Body 8,Rigid Body 8,Rigid Body 8,Rigid Body 8,Rigid Body 8,Rigid Body 8,Rigid Body 8,Rigid Body 9,Rigid Body 9,Rigid Body 9,Rigid Body 9,Rigid Body 9,Rigid Body 9,Rigid Body 9,Rigid Body 10,Rigid Body 10,Rigid Body 10,Rigid Body 10,Rigid Body 10,Rigid Body 10,Rigid Body 10,Rigid Body 11,Rigid Body 11,Rigid Body 11,Rigid Body 11,Rigid Body 11,Rigid Body 11,Rigid Body 11,Rigid Body 12,Rigid Body 12,Rigid Body 12,Rigid Body 12,Rigid Body 12,Rigid Body 12,Rigid Body 12
,,"669774B2B93611E4320531EBE0C847BA","669774B2B93611E4320531EBE0C847BA","669774B2B93611E4320531EBE0C847BA","669774B2B93611E4320531EBE0C847BA","669774B2B93611E4320531EBE0C847BA","669774B2B93611E4320531EBE0C847BA","669774B2B93611E4320531EBE0C847BA","8D8DC7FEB93611E4320531EBE0C847BA","8D8DC7FEB93611E4320531EBE0C847BA","8D8DC7FEB93611E4320531EBE0C847BA","8D8DC7FEB93611E4320531EBE0C847BA","8D8DC7FEB93611E4320531EBE0C847BA","8D8DC7FEB93611E4320531EBE0C847BA","8D8DC7FEB93611E4320531EBE0C847BA","A0D3FE2EB93611E4320531EBE0C847BA","A0D3FE2EB93611E4320531EBE0C847BA","A0D3FE2EB93611E4320531EBE0C847BA","A0D3FE2EB93611E4320531EBE0C847BA","A0D3FE2EB93611E4320531EBE0C847BA","A0D3FE2EB93611E4320531EBE0C847BA","A0D3FE2EB93611E4320531EBE0C847BA","B04E5113B93611E4320531EBE0C847BA","B04E5113B93611E4320531EBE0C847BA","B04E5113B93611E4320531EBE0C847BA","B04E5113B93611E4320531EBE0C847BA","B04E5113B93611E4320531EBE0C847BA","B04E5113B93611E4320531EBE0C847BA","B04E5113B93611E4320531EBE0C847BA","D0B15949B93611E4320531EBE0C847BA","D0B15949B93611E4320531EBE0C847BA","D0B15949B93611E4320531EBE0C847BA","D0B15949B93611E4320531EBE0C847BA","D0B15949B93611E4320531EBE0C847BA","D0B15949B93611E4320531EBE0C847BA","D0B15949B93611E4320531EBE0C847BA","E0441689B93611E4320531EBE0C847BA","E0441689B93611E4320531EBE0C847BA","E0441689B93611E4320531EBE0C847BA","E0441689B93611E4320531EBE0C847BA","E0441689B93611E4320531EBE0C847BA","E0441689B93611E4320531EBE0C847BA","E0441689B93611E4320531EBE0C847BA","977F52B3B93911E4320531EBE0C847BA","977F52B3B93911E4320531EBE0C847BA","977F52B3B93911E4320531EBE0C847BA","977F52B3B93911E4320531EBE0C847BA","977F52B3B93911E4320531EBE0C847BA","977F52B3B93911E4320531EBE0C847BA","977F52B3B93911E4320531EBE0C847BA","977F52B4B93911E4320531EBE0C847BA","977F52B4B93911E4320531EBE0C847BA","977F52B4B93911E4320531EBE0C847BA","977F52B4B93911E4320531EBE0C847BA","977F52B4B93911E4320531EBE0C847BA","977F52B4B93911E4320531EBE0C847BA","977F52B4B93911E4320531EBE0C847BA","A2581FABB93911E4320531EBE0C847BA","A2581FABB93911E4320531EBE0C847BA","A2581FABB93911E4320531EBE0C847BA","A2581FABB93911E4320531EBE0C847BA","A2581FABB93911E4320531EBE0C847BA","A2581FABB93911E4320531EBE0C847BA","A2581FABB93911E4320531EBE0C847BA","A2581FACB93911E4320531EBE0C847BA","A2581FACB93911E4320531EBE0C847BA","A2581FACB93911E4320531EBE0C847BA","A2581FACB93911E4320531EBE0C847BA","A2581FACB93911E4320531EBE0C847BA","A2581FACB93911E4320531EBE0C847BA","A2581FACB93911E4320531EBE0C847BA","ADA77DF0B93911E4320531EBE0C847BA","ADA77DF0B93911E4320531EBE0C847BA","ADA77DF0B93911E4320531EBE0C847BA","ADA77DF0B93911E4320531EBE0C847BA","ADA77DF0B93911E4320531EBE0C847BA","ADA77DF0B93911E4320531EBE0C847BA","ADA77DF0B93911E4320531EBE0C847BA","ADA77DF1B93911E4320531EBE0C847BA","ADA77DF1B93911E4320531EBE0C847BA","ADA77DF1B93911E4320531EBE0C847BA","ADA77DF1B93911E4320531EBE0C847BA","ADA77DF1B93911E4320531EBE0C847BA","ADA77DF1B93911E4320531EBE0C847BA","ADA77DF1B93911E4320531EBE0C847BA"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,-0.008301,0.041197,-0.007940,0.999085,0.893727,0.135111,-0.171000,-0.003707,-0.108387,-0.001561,0.994101,-0.004868,-0.021241,0.097208,-0.001874,0.151031,0.003416,0.988521,0.521023,0.011932,-0.339181,-0.060274,-0.128104,0.954162,0.263687,0.380099,0.007839,-0.351662,-0.036960,-0.174877,0.291660,0.939674,-0.042319,-0.032599,-0.246665,-0.005126,0.958015,-0.002960,0.286657,-0.532705,-0.015228,-0.150708,0.050858,-0.038117,0.010831,0.997919,-0.060686,1.542296,-0.087975,-0.048545,-0.053677,-0.027513,0.996998,-0.000415,1.166320,-0.350672,-0.085908,0.065437,-0.036208,0.993492,-0.246459,0.796397,-0.207266,-0.021082,-0.057884,0.002837,0.998097,0.185143,0.823262,-0.071982,0.004953,-0.495735,-0.021156,0.868202,-0.233069,0.108304,-0.277829,-0.034440,0.099873,0.038980,0.993640,0.203221,0.100361,-0.258078
1,0.008333,-0.008023,0.041913,-0.008238,0.999055,0.893630,0.135273,-0.170899,-0.003694,-0.108435,-0.001626,0.994095,-0.004881,-0.021240,0.097214,-0.001835,0.151045,0.003377,0.988520,0.521008,0.011924,-0.339144,-0.060235,-0.128091,0.954111,0.263887,0.380103,0.007842,-0.351661,-0.038934,-0.176549,0.289626,0.939910,-0.042538,-0.032427,-0.246712,-0.005177,0.957953,-0.002745,0.286865,-0.532709,-0.015228,-0.150715,0.050742,-0.037854,0.010819,0.997936,-0.060778,1.542336,-0.088005,-0.048545,-0.053944,-0.027694,0.996979,-0.000394,1.166321,-0.350688,-0.086068,0.065100,-0.036096,0.993505,-0.246497,0.796389,-0.207425,-0.020494,-0.056323,0.002323,0.998200,0.185082,0.823313,-0.071887,0.005554,-0.495741,-0.022099,0.868172,-0.233170,0.108256,-0.277841,-0.034258,0.099547,0.037720,0.993727,0.203152,0.100323,-0.257995
2,0.016667,-0.007779,0.041971,-0.008244,0.999055,0.893633,0.135257,-0.170897,-0.003562,-0.108474,-0.001751,0.994091,-0.004850,-0.021204,0.097235,-0.002078,0.150602,0.003298,0.988587,0.521047,0.011933,-0.339107,-0.060246,-0.128047,0.954139,0.263804,0.380103,0.007830,-0.351666,-0.038922,-0.176964,0.290645,0.939518,-0.042427,-0.032496,-0.246798,-0.005178,0.958010,-0.003050,0.286673,-0.532693,-0.015230,-0.150706,0.050605,-0.038210,0.010839,0.997929,-0.060869,1.542364,-0.088042,-0.048435,-0.054238,-0.027256,0.996980,-0.000361,1.166327,-0.350701,-0.086183,0.064934,-0.036171,0.993503,-0.246521,0.796391,-0.207538,-0.020152,-0.057305,0.002862,0.998149,0.184983,0.823382,-0.071782,0.004267,-0.496015,-0.020325,0.868066,-0.233112,0.108330,-0.277814,-0.034112,0.099450,0.038611,0.993708,0.203177,0.100471,-0.258109
3,0.025000,-0.008284,0.041058,-0.007860,0.999092,0.893753,0.135081,-0.171035,-0.003596,-0.108598,-0.001721,0.994078,-0.004873,-0.021219,0.097213,-0.002184,0.151117,0.003301,0.988508,0.521039,0.011940,-0.339149,-0.060296,-0.128131,0.954168,0.263650,0.380109,0.007836,-0.351659,-0.039436,-0.176878,0.295211,0.938088,-0.042430,-0.032270,-0.246695,-0.005101,0.958002,-0.002728,0.286703,-0.532704,-0.015200,-0.150708,0.050521,-0.038050,0.010798,0.997939,-0.060960,1.542396,-0.088062,-0.048351,-0.054569,-0.027183,0.996968,-0.000334,1.166332,-0.350716,-0.086399,0.064954,-0.036232,0.993480,-0.246535,0.796416,-0.207593,-0.019975,-0.056834,0.002754,0.998180,0.184921,0.823445,-0.071703,0.004668,-0.495876,-0.020922,0.868129,-0.232981,0.108309,-0.277853,-0.034542,0.099409,0.037978,0.993722,0.203169,0.100316,-0.258014
4,0.033333,-0.007852,0.041811,-0.008137,0.999062,0.893659,0.135225,-0.170988,-0.003696,-0.108364,-0.001613,0.994103,-0.004868,-0.021237,0.097209,-0.001943,0.150919,0.003348,0.988539,0.521019,0.011930,-0.339130,-0.060309,-0.128244,0.954130,0.263727,0.380113,0.007853,-0.351660,-0.038921,-0.176607,0.292542,0.938996,-0.042547,-0.032376,-0.246766,-0.005177,0.958017,-0.003126,0.286649,-0.532694,-0.015232,-0.150705,0.050303,-0.038028,0.010699,0.997952,-0.061057,1.542421,-0.088100,-0.048707,-0.054714,-0.027039,0.996947,-0.000308,1.166337,-0.350731,-0.086638,0.065199,-0.036313,0.993441,-0.246532,0.796449,-0.207607,-0.020382,-0.056813,0.002416,0.998174,0.184873,0.823477,-0.071647,0.004275,-0.496044,-0.020451,0.868046,-0.233080,0.108328,-0.277837,-0.033953,0.100629,0.038252,0.993609,0.203239,0.100357,-0.258089
5,0.041667,-0.008210,0.042025,-0.008224,0.999049,0.893614,0.135281,-0.170951,-0.003547,-0.108615,-0.001800,0.994076,-0.004909,-0.021216,0.097209,-0.001802,0.151018,0.003422,0.988523,0.521004,0.011925,-0.339140,-0.060229,-0.128146,0.954118,0.263838,0.380106,0.007849,-0.351660,-0.036505,-0.176070,0.279981,0.943015,-0.042919,-0.032606,-0.246754,-0.005086,0.957993,-0.002659,0.286734,-0.532706,-0.015213,-0.150711,0.050271,-0.037889,0.010721,0.997959,-0.061138,1.542423,-0.088118,-0.048240,-0.054949,-0.026889,0.996961,-0.000271,1.166340,-0.350752,-0.086848,0.065488,-0.036452,0.993398,-0.246521,0.796486,-0.207592,-0.020713,-0.057981,0.002628,0.998099,0.184814,0.823514,-0.071578,0.004983,-0.495778,-0.021525,0.868168,-0.233038,0.108298,-0.277857,-0.034020,0.100226,0.038156,0.993651,0.203102,0.100340,-0.258031
