Format Version,1.1,Take Name,Take 2015-02-20 02.11.14 PM,Capture Frame Rate,120.000000,Export Frame Rate,60.000000,Capture Start Time,2015-02-20 02.11.14.443 PM,Total Frames,2058,Rotation Type,Quaternion

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 2,Rigid Body 2,Rigid Body 2,Rigid Body 2,Rigid Body 2,Rigid Body 2,Rigid Body 2,Rigid Body 3,Rigid Body 3,Rigid Body 3,Rigid Body 3,Rigid Body 3,Rigid Body 3,Rigid Body 3,Rigid Body 4,Rigid Body 4,Rigid Body 4,Rigid Body 4,Rigid Body 4,Rigid Body 4,Rigid Body 4,Rigid Body 5,Rigid Body 5,Rigid Body 5,Rigid Body 5,Rigid Body 5,Rigid Body 5,Rigid Body 5,Rigid Body 6,Rigid Body 6,Rigid Body 6,Rigid Body 6,Rigid Body 6,Rigid Body 6,Rigid Body 6,Rigid Body 7,Rigid Body 7,Rigid Body 7,Rigid Body 7,Rigid Body 7,Rigid Body 7,Rigid Body 7,Rigid Body 8,Rigid Body 8,Rigid Body 8,Rigid Body 8,Rigid Body 8,Rigid Body 8,Rigid Body 8,Rigid Body 9,Rigid Body 9,Rigid Body 9,Rigid Body 9,Rigid Body 9,Rigid Body 9,Rigid Body 9,Rigid Body 10,Rigid Body 10,Rigid Body 10,Rigid Body 10,Rigid Body 10,Rigid Body 10,Rigid Body 10,Rigid Body 11,Rigid Body 11,Rigid Body 11,Rigid Body 11,Rigid Body 11,Rigid Body 11,Rigid Body 11,Rigid Body 12,Rigid Body 12,Rigid Body 12,Rigid Body 12,Rigid Body 12,Rigid Body 12,Rigid Body 12
,,"669774B2B93611E4320531EBE0C847BA","669774B2B93611E4320531EBE0C847BA","669774B2B93611E4320531EBE0C847BA","669774B2B93611E4320531EBE0C847BA","669774B2B93611E4320531EBE0C847BA","669774B2B93611E4320531EBE0C847BA","669774B2B93611E4320531EBE0C847BA","8D8DC7FEB93611E4320531EBE0C847BA","8D8DC7FEB93611E4320531EBE0C847BA","8D8DC7FEB93611E4320531EBE0C847BA","8D8DC7FEB93611E4320531EBE0C847BA","8D8DC7FEB93611E4320531EBE0C847BA","8D8DC7FEB93611E4320531EBE0C847BA","8D8DC7FEB93611E4320531EBE0C847BA","A0D3FE2EB93611E4320531EBE0C847BA","A0D3FE2EB93611E4320531EBE0C847BA","A0D3FE2EB93611E4320531EBE0C847BA","A0D3FE2EB93611E4320531EBE0C847BA","A0D3FE2EB93611E4320531EBE0C847BA","A0D3FE2EB93611E4320531EBE0C847BA","A0D3FE2EB93611E4320531EBE0C847BA","B04E5113B93611E4320531EBE0C847BA","B04E5113B93611E4320531EBE0C847BA","B04E5113B93611E4320531EBE0C847BA","B04E5113B93611E4320531EBE0C847BA","B04E5113B93611E4320531EBE0C847BA","B04E5113B93611E4320531EBE0C847BA","B04E5113B93611E4320531EBE0C847BA","D0B15949B93611E4320531EBE0C847BA","D0B15949B93611E4320531EBE0C847BA","D0B15949B93611E4320531EBE0C847BA","D0B15949B93611E4320531EBE0C847BA","D0B15949B93611E4320531EBE0C847BA","D0B15949B93611E4320531EBE0C847BA","D0B15949B93611E4320531EBE0C847BA","E0441689B93611E4320531EBE0C847BA","E0441689B93611E4320531EBE0C847BA","E0441689B93611E4320531EBE0C847BA","E0441689B93611E4320531EBE0C847BA","E0441689B93611E4320531EBE0C847BA","E0441689B93611E4320531EBE0C847BA","E0441689B93611E4320531EBE0C847BA","977F52B3B93911E4320531EBE0C847BA","977F52B3B93911E4320531EBE0C847BA","977F52B3B93911E4320531EBE0C847BA","977F52B3B93911E4320531EBE0C847BA","977F52B3B93911E4320531EBE0C847BA","977F52B3B93911E4320531EBE0C847BA","977F52B3B93911E4320531EBE0C847BA","977F52B4B93911E4320531EBE0C847BA","977F52B4B93911E4320531EBE0C847BA","977F52B4B93911E4320531EBE0C847BA","977F52B4B93911E4320531EBE0C847BA","977F52B4B93911E4320531EBE0C847BA","977F52B4B93911E4320531EBE0C847BA","977F52B4B93911E4320531EBE0C847BA","A2581FABB93911E4320531EBE0C847BA","A2581FABB93911E4320531EBE0C847BA","A2581FABB93911E4320531EBE0C847BA","A2581FABB93911E4320531EBE0C847BA","A2581FABB93911E4320531EBE0C847BA","A2581FABB93911E4320531EBE0C847BA","A2581FABB93911E4320531EBE0C847BA","A2581FACB93911E4320531EBE0C847BA","A2581FACB93911E4320531EBE0C847BA","A2581FACB93911E4320531EBE0C847BA","A2581FACB93911E4320531EBE0C847BA","A2581FACB93911E4320531EBE0C847BA","A2581FACB93911E4320531EBE0C847BA","A2581FACB93911E4320531EBE0C847BA","ADA77DF0B93911E4320531EBE0C847BA","ADA77DF0B93911E4320531EBE0C847BA","ADA77DF0B93911E4320531EBE0C847BA","ADA77DF0B93911E4320531EBE0C847BA","ADA77DF0B93911E4320531EBE0C847BA","ADA77DF0B93911E4320531EBE0C847BA","ADA77DF0B93911E4320531EBE0C847BA","ADA77DF1B93911E4320531EBE0C847BA","ADA77DF1B93911E4320531EBE0C847BA","ADA77DF1B93911E4320531EBE0C847BA","ADA77DF1B93911E4320531EBE0C847BA","ADA77DF1B93911E4320531EBE0C847BA","ADA77DF1B93911E4320531EBE0C847BA","ADA77DF1B93911E4320531EBE0C847BA"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,-0.008301,0.041197,-0.007940,0.999085,0.893727,0.135111,-0.171000,-0.003707,-0.108387,-0.001561,0.994101,-0.004868,-0.021241,0.097208,-0.001874,0.151031,0.003416,0.988521,0.521023,0.011932,-0.339181,-0.060274,-0.128104,0.954162,0.263687,0.380099,0.007839,-0.351662,-0.036960,-0.174877,0.291660,0.939674,-0.042319,-0.032599,-0.246665,-0.005126,0.958015,-0.002960,0.286657,-0.532705,-0.015228,-0.150708,0.050858,-0.038117,0.010831,0.997919,-0.060686,1.542296,-0.087975,-0.048545,-0.053677,-0.027513,0.996998,-0.000415,1.166320,-0.350672,-0.085908,0.065437,-0.036208,0.993492,-0.246459,0.796397,-0.207266,-0.021082,-0.057884,0.002837,0.998097,0.185143,0.823262,-0.071982,0.004953,-0.495735,-0.021156,0.868202,-0.233069,0.108304,-0.277829,-0.034440,0.099873,0.038980,0.993640,0.203221,0.100361,-0.258078
1,0.016667,-0.007779,0.041971,-0.008244,0.999055,0.893633,0.135257,-0.170897,-0.003562,-0.108474,-0.001751,0.994091,-0.004850,-0.021204,0.097235,-0.002078,0.150602,0.003298,0.988587,0.521047,0.011933,-0.339107,-0.060246,-0.128047,0.954139,0.263804,0.380103,0.007830,-0.351666,-0.038922,-0.176964,0.290645,0.939518,-0.042427,-0.032496,-0.246798,-0.005178,0.958010,-0.003050,0.286673,-0.532693,-0.015230,-0.150706,0.050605,-0.038210,0.010839,0.997929,-0.060869,1.542364,-0.088042,-0.048435,-0.054238,-0.027256,0.996980,-0.000361,1.166327,-0.350701,-0.086183,0.064934,-0.036171,0.993503,-0.246521,0.796391,-0.207538,-0.020152,-0.057305,0.002862,0.998149,0.184983,0.823382,-0.071782,0.004267,-0.496015,-0.020325,0.868066,-0.233112,0.108330,-0.277814,-0.034112,0.099450,0.038611,0.993708,0.203177,0.100471,-0.258109
2,0.033333,-0.007852,0.041811,-0.008137,0.999062,0.893659,0.135225,-0.170988,-0.003696,-0.108364,-0.001613,0.994103,-0.004868,-0.021237,0.097209,-0.001943,0.150919,0.003348,0.988539,0.521019,0.011930,-0.339130,-0.060309,-0.128244,0.954130,0.263727,0.380113,0.007853,-0.351660,-0.038921,-0.176607,0.292542,0.938996,-0.042547,-0.032376,-0.246766,-0.005177,0.958017,-0.003126,0.286649,-0.532694,-0.015232,-0.150705,0.050303,-0.038028,0.010699,0.997952,-0.061057,1.542421,-0.088100,-0.048707,-0.054714,-0.027039,0.996947,-0.000308,1.166337,-0.350731,-0.086638,0.065199,-0.036313,0.993441,-0.246532,0.796449,-0.207607,-0.020382,-0.056813,0.002416,0.998174,0.184873,0.823477,-0.071647,0.004275,-0.496044,-0.020451,0.868046,-0.233080,0.108328,-0.277837,-0.033953,0.100629,0.038252,0.993609,0.203239,0.100357,-0.258089
3,0.050000,-0.009565,0.040280,-0.007639,0.999114,0.893842,0.134876,-0.170596,-0.003648,-0.108492,-0.001680,0.994089,-0.004902,-0.021227,0.097214,-0.002378,0.150807,0.003163,0.988555,0.521027,0.011947,-0.339176,-0.060260,-0.128193,0.954147,0.263700,0.380103,0.007838,-0.351661,-0.038218,-0.176464,0.289004,0.940147,-0.042546,-0.032529,-0.246726,-0.005154,0.958010,-0.002937,0.286674,-0.532708,-0.015229,-0.150710,0.050070,-0.038093,0.010635,0.997962,-0.061230,1.542436,-0.088149,-0.048099,-0.055178,-0.026761,0.996958,-0.000249,1.166342,-0.350768,-0.087105,0.065853,-0.036579,0.993347,-0.246501,0.796530,-0.207544,-0.020727,-0.058354,0.002285,0.998078,0.184731,0.823514,-0.071527,0.005420,-0.495376,-0.022077,0.868381,-0.233100,0.108268,-0.277870,-0.034611,0.099994,0.037598,0.993675,0.203208,0.100550,-0.258034
4,0.066667,-0.008977,0.041494,-0.008078,0.999066,0.893685,0.135135,-0.170648,-0.003609,-0.108339,-0.001719,0.994106,-0.004829,-0.021213,0.097223,-0.002156,0.151296,0.003223,0.988481,0.521038,0.011939,-0.339131,-0.060254,-0.128186,0.954095,0.263896,0.380100,0.007853,-0.351663,-0.038526,-0.176583,0.289194,0.940054,-0.042563,-0.032502,-0.246787,-0.005147,0.958018,-0.003151,0.286645,-0.532688,-0.015229,-0.150704,0.050228,-0.037889,0.010617,0.997962,-0.061398,1.542423,-0.088200,-0.048203,-0.055499,-0.026521,0.996942,-0.000226,1.166351,-0.350809,-0.087429,0.066361,-0.036930,0.993272,-0.246455,0.796610,-0.207435,-0.021067,-0.060094,0.003222,0.997965,0.184544,0.823533,-0.071440,0.004259,-0.496025,-0.020679,0.868052,-0.233039,0.108319,-0.277868,-0.035597,0.098191,0.039557,0.993744,0.203190,0.100582,-0.258281
5,0.083333,-0.008914,0.041089,-0.008050,0.999083,0.893670,0.135096,-0.170850,-0.003583,-0.108467,-0.001719,0.994092,-0.004847,-0.021209,0.097232,-0.001942,0.151032,0.003350,0.988521,0.521003,0.011933,-0.339147,-0.060273,-0.128181,0.954136,0.263745,0.380107,0.007849,-0.351663,-0.038542,-0.174887,0.290229,0.940051,-0.042353,-0.032421,-0.246644,-0.005168,0.958002,-0.002715,0.286702,-0.532707,-0.015224,-0.150713,0.050051,-0.037936,0.010423,0.997972,-0.061576,1.542413,-0.088253,-0.048024,-0.056006,-0.026368,0.996926,-0.000225,1.166366,-0.350859,-0.087648,0.067041,-0.037139,0.993199,-0.246382,0.796653,-0.207347,-0.021554,-0.060897,0.003811,0.997904,0.184360,0.823522,-0.071391,0.004703,-0.495557,-0.021308,0.868302,-0.233066,0.108292,-0.277908,-0.034161,0.100044,0.037656,0.993683,0.203127,0.100312,-0.258021
