,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0,-0.003466,0.042049,-0.007863,0.999079,0.893658,0.13563,-0.170733,-0.001711,-0.107595,-0.003386,0.994188,-0.005059,-0.020754,0.09727,-0.001664,0.152518,0.001194,0.988299,0.521318,0.011378,-0.3396,,,,,,,,-0.043742,-0.175363,0.312788,0.932469,-0.042533,-0.032059,-0.246041,-0.007922,0.95764,-0.004134,0.287829,-0.532688,-0.015748,-0.151012,0.041767,-0.007262,0.009303,0.999058,-0.114908,1.546924,-0.344497,-0.057918,0.004381,0.02,0.998111,-0.056684,1.162889,-0.615951,-0.021153,0.003852,0.007223,0.999743,-0.267919,0.757326,-0.446909,-0.058011,-0.007993,0.049167,0.997072,0.178379,0.845842,-0.362374,0.022066,-0.463714,0.037648,0.88491,-0.190091,0.100981,-0.521252,-0.012263,0.050064,0.014089,0.998571,0.164559,0.097521,-0.546876
1,0.016667,-0.004476,0.04371,-0.008082,0.999002,0.893637,0.135652,-0.170626,-0.001715,-0.107613,-0.003376,0.994186,-0.005066,-0.020755,0.09727,-0.001724,0.152598,0.001112,0.988286,0.521303,0.011368,-0.339606,,,,,,,,-0.043519,-0.175128,0.313696,0.932219,-0.042407,-0.032119,-0.246126,-0.007868,0.957607,-0.003808,0.287946,-0.532688,-0.015749,-0.151016,0.03826,-0.007122,0.009562,0.999197,-0.115111,1.546627,-0.344104,-0.05563,0.004842,0.020061,0.998238,-0.057164,1.163061,-0.615721,-0.020433,0.003669,0.006002,0.999766,-0.268605,0.757467,-0.446951,-0.058133,-0.006371,0.047485,0.997159,0.179285,0.846003,-0.361307,0.018184,-0.460496,0.038946,0.88662,-0.190626,0.100612,-0.521249,-0.012851,0.048725,0.014994,0.998617,0.16454,0.097568,-0.546964
2,0.033333,-0.004316,0.043732,-0.008239,0.999,0.893636,0.13563,-0.170637,-0.001696,-0.107596,-0.003397,0.994187,-0.005051,-0.020755,0.09727,-0.001559,0.152545,0.001153,0.988295,0.5213,0.011374,-0.33961,,,,,,,,-0.043638,-0.175471,0.312045,0.932702,-0.042512,-0.03205,-0.246178,-0.00792,0.957626,-0.004162,0.287876,-0.532682,-0.015747,-0.151013,0.037764,-0.006815,0.009434,0.999219,-0.115298,1.546558,-0.343518,-0.055853,0.005254,0.019729,0.99823,-0.057673,1.163218,-0.615464,-0.020101,0.0028,0.005107,0.999781,-0.269242,0.757549,-0.447004,-0.057686,-0.005325,0.050419,0.997047,0.180234,0.845985,-0.360439,0.020969,-0.463521,0.039072,0.884976,-0.190453,0.101073,-0.521238,-0.012247,0.049255,0.015582,0.99859,0.164488,0.097636,-0.546934
3,0.05,-0.004682,0.043735,-0.008181,0.998999,0.893618,0.135661,-0.170608,-0.001699,-0.107619,-0.003389,0.994185,-0.005061,-0.020758,0.097265,-0.001729,0.152548,0.001111,0.988294,0.521298,0.011365,-0.339601,,,,,,,,-0.043472,-0.175367,0.312017,0.932739,-0.042466,-0.032075,-0.246199,-0.007951,0.95762,-0.003991,0.287898,-0.532687,-0.015752,-0.151014,0.04231,-0.006631,0.009148,0.999041,-0.115466,1.546675,-0.342701,-0.057134,0.005448,0.019065,0.99817,-0.058227,1.163378,-0.61523,-0.020178,0.003022,0.005132,0.999779,-0.269728,0.757549,-0.446961,-0.059173,-0.009078,0.05525,0.996676,0.181246,0.846115,-0.359651,0.021978,-0.463882,0.038321,0.884795,-0.190756,0.10099,-0.521229,-0.012525,0.0492,0.015793,0.998586,0.164416,0.097676,-0.546941
4,0.066667,-0.004634,0.043843,-0.008111,0.998995,0.893632,0.135663,-0.170609,-0.001714,-0.107569,-0.003267,0.994191,-0.005038,-0.020749,0.097259,-0.001701,0.152608,0.001253,0.988285,0.521318,0.011358,-0.33961,,,,,,,,-0.043351,-0.175312,0.312376,0.932635,-0.042403,-0.032123,-0.246189,-0.007845,0.957633,-0.0041,0.287856,-0.532679,-0.01575,-0.151012,0.038471,-0.00612,0.009361,0.999197,-0.115585,1.546225,-0.342091,-0.05392,0.005658,0.018525,0.998357,-0.058881,1.163599,-0.615035,-0.020113,0.005116,0.005276,0.999771,-0.270056,0.757476,-0.446744,-0.058594,-0.00558,0.055948,0.996697,0.18217,0.846179,-0.35892,0.021272,-0.463401,0.039623,0.885007,-0.190546,0.101025,-0.521239,-0.012318,0.048385,0.016003,0.998625,0.164213,0.09763,-0.54694
5,0.083333,-0.004731,0.043986,-0.00799,0.998989,0.893645,0.135657,-0.170593,-0.00171,-0.107579,-0.003358,0.994189,-0.005063,-0.020757,0.097264,-0.001647,0.152561,0.001171,0.988292,0.521302,0.011371,-0.339607,,,,,,,,-0.043666,-0.175749,0.311338,0.932885,-0.042566,-0.032003,-0.24616,-0.007935,0.957611,-0.003909,0.28793,-0.532687,-0.015753,-0.151014,0.043131,-0.005616,0.008974,0.999013,-0.115722,1.546319,-0.341118,-0.053745,0.006423,0.018502,0.998363,-0.059599,1.163856,-0.614847,-0.020097,0.009808,0.005395,0.999735,-0.27031,0.757474,-0.44634,-0.057289,-0.000819,0.054735,0.996856,0.183024,0.846165,-0.358433,0.021116,-0.463304,0.040173,0.885037,-0.190567,0.100997,-0.521232,-0.012699,0.049284,0.016338,0.99857,0.16414,0.097717,-0.546798
6,0.1,-0.003855,0.043029,-0.008251,0.999032,0.893629,0.135631,-0.170696,-0.001703,-0.107583,-0.003378,0.994189,-0.005054,-0.020757,0.097265,-0.001578,0.152596,0.001355,0.988286,0.521304,0.011394,-0.339602,,,,,,,,-0.043507,-0.175438,0.311897,0.932764,-0.042495,-0.032055,-0.246201,-0.007903,0.957628,-0.004048,0.28787,-0.532687,-0.015751,-0.151015,0.038977,-0.005271,0.009293,0.999183,-0.115839,1.545881,-0.340322,-0.053268,0.006221,0.018063,0.998398,-0.060397,1.164047,-0.614642,-0.019962,0.015557,0.005217,0.999666,-0.270337,0.757502,-0.445811,-0.05604,0.001139,0.055499,0.996884,0.183751,0.846156,-0.358157,0.022013,-0.46319,0.039582,0.885101,-0.190757,0.10092,-0.521251,-0.0135,0.048915,0.0172,0.998564,0.164219,0.097841,-0.546942
7,0.116667,-0.003897,0.043745,-0.007146,0.99901,0.893749,0.135576,-0.170692,-0.001689,-0.107607,-0.003423,0.994186,-0.005058,-0.020755,0.097262,-0.001537,0.152549,0.001332,0.988294,0.521297,0.011396,-0.339603,,,,,,,,-0.043685,-0.17568,0.311769,0.932753,-0.042555,-0.03202,-0.246183,-0.007886,0.957626,-0.003957,0.287878,-0.532685,-0.015747,-0.151012,0.044611,-0.005626,0.009085,0.998947,-0.115988,1.54598,-0.339285,-0.050027,0.006166,0.017709,0.998572,-0.061194,1.164288,-0.614441,-0.020233,0.020633,0.00569,0.999566,-0.270285,0.757512,-0.445365,-0.057822,0.002686,0.056457,0.996726,0.184396,0.846215,-0.357941,0.022699,-0.463531,0.039429,0.884912,-0.190735,0.100853,-0.52123,-0.013599,0.050389,0.016584,0.998499,0.16413,0.097887,-0.546748
8,0.133333,-0.003382,0.042131,-0.007839,0.999076,0.893651,0.135626,-0.170741,-0.001692,-0.107607,-0.003408,0.994186,-0.005058,-0.020752,0.097269,-0.001734,0.15256,0.001177,0.988292,0.521306,0.011364,-0.339604,,,,,,,,-0.043464,-0.175377,0.31189,0.93278,-0.042496,-0.032043,-0.246059,-0.007926,0.957603,-0.003896,0.287956,-0.532684,-0.015747,-0.151015,0.040434,-0.004876,0.009195,0.999128,-0.116154,1.545569,-0.33822,-0.051088,0.006156,0.017807,0.998516,-0.062079,1.164532,-0.614149,-0.020812,0.026809,0.005665,0.999408,-0.270278,0.757592,-0.444867,-0.058757,0.007897,0.056084,0.996664,0.184909,0.846332,-0.357857,0.022165,-0.46236,0.040354,0.885496,-0.190762,0.100872,-0.521216,-0.012557,0.049351,0.01668,0.998563,0.164051,0.097913,-0.546866
9,0.15,-0.003631,0.041837,-0.00795,0.999086,0.893629,0.135639,-0.170715,-0.001704,-0.107587,-0.003398,0.994188,-0.005057,-0.020752,0.097266,-0.001756,0.152639,0.001268,0.98828,0.521313,0.011389,-0.339589,,,,,,,,-0.043455,-0.175332,0.312509,0.932582,-0.042479,-0.032073,-0.246243,-0.007983,0.957592,-0.003759,0.287992,-0.532689,-0.015754,-0.151015,0.044248,-0.005156,0.008463,0.998971,-0.116322,1.545695,-0.336896,-0.048994,0.005857,0.016987,0.998637,-0.062954,1.164875,-0.613796,-0.021364,0.034088,0.005546,0.999175,-0.270241,0.757715,-0.444194,-0.058351,0.010981,0.057317,0.996589,0.18545,0.84632,-0.358086,0.023179,-0.462954,0.039614,0.885193,-0.191029,0.100779,-0.521174,-0.012856,0.050178,0.016397,0.998523,0.164026,0.097994,-0.546817
